Source,Target,Weight
JP,US,50
JP,FR,31
JP,AU,12
JP,FI,7
JP,DE,19
JP,SG,12
JP,CA,15
JP,HU,8
JP,ES,14
JP,BR,15
JP,UA,6
JP,CZ,9
JP,GB,18
JP,HK,14
JP,BE,5
JP,ZA,5
JP,KR,15
JP,IT,10
JP,IL,6
JP,EG,2
JP,IE,7
JP,CN,3
JP,PR,21
JP,AT,7
JP,PE,4
JP,AR,4
JP,BO,3
JP,CL,4
JP,EC,3
JP,PY,3
JP,CO,3
JP,MX,10
JP,VE,3
JP,UY,3
JP,SE,9
JP,CU,3
JP,SV,3
JP,DO,3
JP,GT,3
JP,HT,3
JP,HN,3
JP,PA,2
JP,NL,9
JP,ID,15
JP,IS,4
JP,NZ,7
JP,TW,10
JP,TH,12
JP,PL,13
JP,VN,8
JP,TR,6
JP,LT,6
JP,SK,4
JP,CH,12
JP,PT,8
JP,DK,7
JP,IN,9
JP,PH,8
JP,RO,5
JP,NO,9
JP,GR,7
JP,RS,2
JP,ME,2
JP,KZ,3
JP,XK,1
JP,BA,2
JP,BG,4
JP,BH,2
JP,KW,2
JP,OM,2
JP,QA,2
JP,SA,3
JP,AE,3
JP,LV,2
JP,EE,6
JP,MN,2
JP,BW,2
JP,GH,2
JP,KE,3
JP,LS,2
JP,NA,2
JP,SZ,2
JP,TZ,2
JP,UG,2
JP,ZM,2
JP,ZW,2
JP,NI,3
JP,MY,4
JP,HR,3
JP,AD,2
JP,GE,2
US,JP,174
US,FR,333
US,AU,250
US,FI,137
US,DE,376
US,SG,192
US,CA,276
US,HU,156
US,ES,230
US,BR,227
US,UA,134
US,CZ,154
US,GB,415
US,HK,128
US,BE,118
US,ZA,67
US,KR,200
US,IT,199
US,IL,161
US,EG,37
US,IE,196
US,CN,40
US,PR,437
US,AT,120
US,PE,81
US,AR,110
US,BO,66
US,CL,75
US,EC,84
US,PY,68
US,CO,75
US,MX,204
US,VE,75
US,UY,65
US,SE,187
US,CU,26
US,SV,55
US,DO,71
US,GT,60
US,HT,36
US,HN,54
US,PA,59
US,NL,219
US,ID,94
US,IS,76
US,NZ,138
US,TW,158
US,TH,114
US,PL,198
US,VN,92
US,TR,133
US,LT,128
US,SK,106
US,CH,151
US,PT,150
US,DK,132
US,IN,77
US,PH,82
US,RO,151
US,NO,147
US,GR,163
US,RS,51
US,ME,46
US,KZ,87
US,XK,8
US,BA,50
US,BG,76
US,BH,37
US,KW,49
US,OM,34
US,QA,33
US,SA,50
US,AE,72
US,LV,62
US,EE,127
US,MN,38
US,BW,26
US,GH,32
US,KE,23
US,LS,18
US,NA,27
US,SZ,26
US,TZ,22
US,UG,29
US,ZM,20
US,ZW,28
US,NI,51
US,MY,46
US,HR,70
US,AD,62
US,GE,29
ES,BR,16
ES,DE,27
ES,PL,18
ES,GB,29
ES,FR,38
ES,SG,15
ES,TR,6
ES,CA,12
ES,US,38
ES,MX,12
ES,RO,14
ES,IL,9
ES,IT,12
ES,JP,10
ES,NL,11
ES,SE,7
ES,AU,10
US,VI,65
US,MO,50
US,LU,54
US,JO,31
US,BY,27
US,ML,19
US,TN,22
US,TG,18
US,SN,18
US,RW,19
US,PK,25
US,PG,24
US,NP,21
US,NG,26
US,NE,25
US,MU,34
US,MZ,27
US,MG,23
US,MT,52
US,MA,22
US,JM,30
US,GN,18
US,GA,18
US,DZ,21
US,CM,22
US,CI,19
US,CG,18
US,CD,19
US,BJ,18
US,BF,18
US,BD,23
US,UZ,22
US,TT,49
US,TJ,28
US,SI,68
US,MK,48
US,MD,33
US,LK,29
US,KH,31
US,KG,25
US,FJ,30
US,CR,45
US,CY,39
US,BS,36
US,AZ,51
US,AO,22
US,AM,30
US,AL,48
US,LA,29
GB,AU,65
GB,US,200
GB,ES,59
GB,FR,78
GB,BR,46
GB,DE,80
GB,CA,66
GB,PT,23
GB,TR,25
GB,IT,44
GB,SG,41
GB,HU,25
GB,TH,26
GB,UA,34
GB,FI,22
GB,TW,34
GB,DK,27
GB,AR,17
GB,BO,10
GB,CO,11
GB,CL,15
GB,EC,15
GB,MX,35
GB,PY,12
GB,PE,12
GB,UY,10
GB,VE,11
GB,CU,6
GB,SV,10
GB,HN,9
GB,GT,11
GB,NI,9
GB,PR,72
GB,DO,15
GB,HT,6
GB,TT,9
GB,KR,36
GB,HK,25
GB,CZ,26
GB,NO,27
GB,NL,49
GB,MY,12
GB,IN,20
GB,IL,35
GB,EE,30
GB,PL,40
GB,KZ,17
GB,BE,20
GB,ID,24
GB,IS,14
GB,GR,41
GB,KW,11
GB,SK,14
GB,BG,13
GB,LT,29
GB,SE,35
GB,RO,21
GB,IE,46
GB,NZ,29
GB,CH,42
GB,AE,16
GB,VN,18
GB,EG,9
GB,PH,21
GB,CN,5
GB,AT,19
GB,AL,9
GB,AZ,12
GB,GE,6
GB,HR,11
GB,KG,6
GB,MD,9
GB,ME,8
GB,UZ,6
GB,XK,2
GB,CM,6
GB,DZ,6
GB,ZA,16
GB,MT,10
GB,BA,8
GB,AM,8
GB,TJ,8
GB,GU,8
GB,MP,8
GB,AS,8
GB,MO,10
GB,PA,9
US,GU,48
US,MP,47
US,AS,47
GB,JP,26
GB,AD,10
GB,BH,9
GB,SA,12
GB,LV,12
GB,MM,6
US,MM,20
CA,US,75
CA,SG,11
CA,FR,34
CA,PL,15
CA,GB,40
CA,PR,27
CA,TR,8
CA,BR,18
CA,ES,19
CA,GR,12
CA,DE,33
CA,AU,20
CA,BG,4
CA,HR,2
CA,CZ,12
CA,DK,7
CA,FI,8
CA,HK,9
CA,HU,9
CA,IN,4
CA,ID,5
CA,IL,12
CA,IT,12
CA,JP,9
CA,MY,4
CA,MX,17
CA,NL,11
CA,NO,9
CA,PH,7
CA,PT,8
CA,RO,8
CA,KR,17
CA,SE,9
CA,TW,10
CA,TH,10
CA,UA,10
CA,AE,4
CA,VN,6
DE,US,75
DE,TR,11
DE,IT,14
DE,FR,41
DE,ES,18
DE,FI,6
DE,GB,33
DE,SG,16
DE,CZ,14
DE,HU,6
DE,HK,11
DE,TH,9
DE,AU,21
DE,ZA,2
DE,TW,12
DE,CH,24
DE,NO,5
DE,SE,9
DE,BE,9
DE,AR,8
DE,DK,9
DE,IE,7
DE,BR,19
DE,BH,2
DE,KW,3
DE,QA,1
DE,SA,4
DE,AE,4
DE,NL,18
DE,PR,22
DE,BO,2
DE,VE,3
DE,CL,6
DE,MX,12
DE,CO,4
DE,EC,3
DE,PY,2
DE,PE,5
DE,UY,2
DE,GR,15
DE,RU,10
DE,IL,6
DE,KR,21
DE,LT,11
DE,MO,1
DE,PT,8
DE,BG,3
DE,UA,14
DE,NZ,8
DE,KZ,3
DE,JP,11
DE,EE,15
DE,RO,10
DE,PL,15
DE,AT,11
DE,SK,5
DE,PH,4
DE,CA,23
DE,ID,14
US,RU,90
US,AG,41
US,AI,33
US,AW,36
US,BB,28
US,BM,35
US,BZ,38
US,CC,35
US,CK,34
US,CX,34
US,DM,35
US,FK,27
US,FO,40
US,GD,33
US,GI,37
US,GL,33
US,GS,27
US,GY,36
US,IO,37
US,KN,41
US,KY,37
US,LC,35
US,LI,37
US,MH,31
US,MS,27
US,NF,35
US,NU,34
US,PN,37
US,SH,36
US,SJ,19
US,SM,37
US,SR,29
US,TC,26
US,TK,34
US,VA,36
US,VC,28
US,VG,36
NZ,US,9
NZ,AU,3
NZ,FR,4
NZ,SG,2
NZ,ES,2
NZ,FI,2
NZ,BR,2
NZ,GB,3
NZ,DE,4
NZ,PL,2
NZ,IE,2
NZ,CZ,1
NZ,IL,1
